,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
7670,ecu,2007,energy,92.3623,18.8339,9922.29,161.636,21.9387,15.0622,14.6566,8.8866,7.9332,15.1805,59.0899,3.9679,29.3477,19.2119,19.4577,31.988,52.5033,20.1871,129.881,45.1955,572.409,55.4549,40.1308,1.1027,2.2735,1.754,152.81,energy,45.2888,2.9891,6119.31,49.0537,0.6543,2.1575,0.5685,1.1903,5.9628,2.5622,16.8939,2.0845,29.3476,2.4185,9.4485,14.7634,2.0272,0.2536,0.053,0.8477,145.404,5.21514,0.7598,0.1274,0.412,0.3568,2.6135,0.594805,0.526576,0.648799,0.493183,0.549015
7939,gin,2007,otherprim,0.1252,533.312,0.0811,0.2023,0.5295,0.0514,0.4388,0.4125,4.4319,0.6033,0.0037,0.768,8.8436,0.0656,0.1985,0.0001,3.8827,0.1602,9.3221,-0.0013,0.0426,0.0239,0.0234,0.0314,0.0805,0.8125,0.2625,otherprim,0.0136,420.771,0.0905,0.0113,0.0007,0.0004,0.002,0.0075,0.7543,0.0936,0.0038,0.011,8.6686,0.0021,0.0757,0.0001,0.0908,0.0003,0.5458,0.0001,0.0057,0.007072,0.0004,0.0024,0.0439,0.0205,0.0052,0.569968,0.462428,0.664023,0.411251,0.562581
8210,irn,2007,energy,2496.26,474.159,86318.2,2534.52,86.0439,424.272,77.4013,161.058,8.7421,96.5809,2583.94,203.044,655.121,382.793,696.28,1074.24,572.78,77.6697,4316.28,3582.91,6317.99,149.39,125.655,14.5861,568.84,433.701,2332.27,energy,377.331,308.451,67943.2,124.983,8.316,168.891,11.0061,68.0748,6.5586,33.5223,1996.41,100.253,655.649,22.3393,37.6246,100.4,35.0618,3.054,67.6799,188.396,3098.11,42.4066,68.9675,12.3667,238.29,44.7327,43.0106,0.655743,0.703015,0.786251,0.789524,0.74024
8318,kaz,2007,energy,427.857,78.7164,14289.6,376.902,18.3588,13.6059,11.2443,19.9612,8.0558,29.5147,267.944,23.7545,757.26,19.4582,39.3373,155.136,55.9989,9.8615,526.599,427.978,112.989,84.6764,-1.3215,0.9436,-1.8352,185.954,1522.6,energy,56.0423,75.3521,13459.9,20.7623,1.0222,1.9107,0.2688,9.105,0.2245,1.8975,184.028,9.6728,697.908,2.0858,9.7329,15.5848,1.4693,0.2496,0.8083,9.5533,69.6793,5.3941,0.2543,0.1539,5.9669,8.0953,55.6915,0.377302,0.62115,0.648088,0.398548,0.634812
8453,kwt,2007,energy,3.4067,6.1828,63156.1,35.57,6.2372,2.2826,4.1144,0.9222,1.1934,4.9154,246.132,8.642,12.8646,1.3569,8.1408,34.637,22.5761,264.557,149.017,235.367,1031.86,55.628,37.3906,6.8248,210.655,63.843,229.365,energy,0.078,4.2802,60052.3,5.7543,0.5632,0.3308,0.1441,0.0827,0.1885,2.5033,130.101,2.9368,5.8221,0.505,0.9743,9.7173,6.8639,0.3753,0.2,2.5366,648.443,37.8056,0.7576,2.6609,45.1845,1.4005,22.3228,0.695403,0.811377,0.842084,0.847244,0.842446
8722,mng,2007,otherprim,0.4858,735.455,3.6653,0.2707,0.0227,0.1414,0.1006,0.027,0.352,0.0258,0.0525,0.0247,5.5388,0.01,0.0238,0.0492,0.0192,0.0391,8.7268,0.7455,3.644,0.0959,0.0172,0.0126,0.5344,0.1104,1.9615,otherprim,0.0863,771.779,0.9606,0.0493,0.0023,0.1398,0.0896,0.0258,0.2823,0.0039,0.0526,0.0087,5.6114,0.0053,0.014,0.0301,0.0151,0.0056,0.0651,0.0626,2.4675,0.034829,0.0059,0.0035,0.1262,0.0323,0.0593,0.645749,0.495685,0.636249,0.47679,0.542906
8750,moz,2007,energy,1.3909,0.7836,1119.76,1.1205,0.2771,0.0717,0.1449,0.0637,0.2836,0.0471,0.2867,0.5391,570.863,0.1174,0.1408,0.2666,0.0706,13.468,3.3811,0.2324,8.0832,0.9377,0.7185,0.4596,0.7359,4.1462,29.7481,energy,0.2238,0.1974,1082.9,0.3808,0.0033,0.019,0.0054,0.003,0.0226,0.0345,0.1159,0.1679,571.993,0.1174,0.0576,0.0739,0.0331,0.2774,0.1276,0.0469,2.6152,0.188,0.0552,0.0302,0.4621,0.2559,1.5405,0.736097,0.326431,0.517558,0.517103,0.35734
8802,mwi,2007,primaryagr,933.781,0.2578,0.6008,20.4317,121.129,3.6626,8.1524,1.3785,5.5294,4.8799,0.0498,0.0002,0.0668,0.1927,0.4822,2.5255,0.1006,0.0497,0.0195,20.7692,0.1908,0.0443,0.2624,0.5604,0.0724,0.0024,0.4452,primaryagr,423.707,0.008,0.6062,14.6797,1.7486,1.6135,3.2989,0.1291,1.4953,0.4746,0.0399,0.0001,0.0103,0.0098,0.185,2.4153,0.0129,0.0008,0.016,0.2812,0.143,0.0144,0.0705,0.1218,0.0634,0.0011,0.0106,0.61231,0.432962,0.554401,0.398368,0.503515
8885,nga,2007,energy,33.0119,24.0967,55490.8,47.4055,11.4027,3.0676,5.2979,3.4922,2.8762,19.1769,133.572,12.095,65.9175,5.1259,18.3243,46.6321,22.8036,0.6523,12.6429,92.2433,342.191,8.2091,19.0862,12.4088,12.5014,34.4182,395.408,energy,0.3197,1.0904,54250.3,0.596,0.4578,0.3371,0.0261,2.4889,0.2514,0.2935,43.3549,3.0573,58.8364,2.4602,1.3518,2.7839,1.3884,0.0028,0.0219,0.4206,145.872,0.411442,0.2321,0.1225,0.6903,0.4569,16.6613,0.873068,0.937301,0.959134,0.937704,0.947217
8966,nor,2007,energy,74.4478,205.636,59807.9,421.541,18.0319,14.8009,5.5388,2.3944,44.2641,204.818,778.222,39.4615,1482.97,34.6374,233.147,214.955,22.0774,16.2639,636.886,831.245,5676.44,96.9637,43.034,14.8694,332.116,223.501,1088.15,energy,6.468,178.245,63183.8,169.976,3.5449,5.8269,1.2149,1.3398,28.7148,105.831,679.726,22.4055,1471.39,21.0669,74.68,145.431,4.4253,0.2679,7.1533,32.3702,3364.03,13.5861,6.0073,1.8258,139.902,18.8167,8.4358,0.714691,0.465316,0.637818,0.526213,0.538356
9047,omn,2007,energy,5.3454,31.0443,20717.6,43.072,1.6062,6.4338,8.9694,3.0826,1.3691,23.0903,360.906,27.1137,47.0856,3.8812,5.4739,62.481,32.1283,143.283,247.818,264.039,368.93,14.4475,6.8721,1.0504,60.2099,33.9982,173.715,energy,1.4674,21.5569,19635.2,26.5618,0.347,1.9645,2.8407,0.5238,1.0225,3.5094,236.769,18.2113,29.2501,1.788,1.2162,44.7155,15.752,1.0207,0.4042,22.2577,154.171,1.59956,0.3214,0.4061,24.8547,3.2098,2.607,0.835621,0.823377,0.886459,0.882359,0.861495
9168,phl,2007,machinery,7.2267,25.9064,3.4674,38.1282,5.2069,1.1455,6.2585,0.9725,2.3999,0.4759,6.1567,1.0044,3.9673,0.5813,154.587,18536.3,15.6596,0.206,52.8553,82.8123,111.09,76.2447,11.0213,1.8393,13.1676,18.0579,105.874,machinery,1.2675,8.0135,0.8185,4.6227,0.3782,0.6422,3.251,0.3542,2.3083,0.2145,2.8799,0.8101,4.0219,0.5178,62.2899,17466.0,5.1487,0.007,0.6605,2.8155,38.5441,12.9341,0.5532,0.1255,8.5542,1.8225,1.3902,0.32817,0.641885,0.576187,0.413665,0.574141
9263,qat,2007,energy,0.6592,0.2468,16985.3,3.1228,0.8331,0.1912,0.2943,0.0754,0.0271,1.5028,923.228,2.7859,44.9911,2.5322,4.1206,3.9395,16.7484,74.5384,327.22,82.741,450.277,5.6132,5.5032,1.5692,44.6507,17.7345,125.371,energy,0.0235,0.1518,16617.4,0.0353,0.0085,0.0248,0.025,0.006,0.0068,0.2229,654.666,0.3669,22.4393,0.1482,0.4777,0.8605,5.7039,0.4225,2.3604,8.0257,239.186,0.646379,1.0339,1.1417,17.3079,3.3438,2.2081,0.494044,0.769566,0.73347,0.601793,0.741474
9317,rus,2007,energy,2858.93,1296.37,124256.0,5197.85,382.68,112.178,186.393,119.313,1180.05,1361.84,11092.2,311.725,7825.83,389.274,2065.41,3457.77,315.993,1223.12,10088.2,6028.81,11517.7,478.309,83.758,147.201,2456.34,1129.57,12308.4,energy,240.584,1322.7,146233.0,485.075,36.831,60.637,9.5528,21.5726,725.453,776.744,9358.7,231.473,8262.35,174.422,712.343,644.004,128.119,10.2109,196.439,67.6833,3318.61,72.362,22.0868,27.1823,480.997,57.5076,48.4893,0.388749,0.592179,0.625992,0.502926,0.610809
9371,sau,2007,energy,217.014,63.0008,192137.0,366.292,110.687,56.8006,69.8748,20.961,12.4902,227.855,8812.25,272.816,344.379,48.8645,170.61,295.126,274.894,547.245,1798.63,1432.51,5868.69,61.0395,87.1495,36.2488,550.13,145.92,1290.8,energy,21.2286,50.1782,179256.0,74.6594,12.2828,28.7874,6.7466,7.732,3.9233,131.03,6618.99,40.9392,204.283,20.1205,34.4298,104.856,43.2657,5.2452,27.2643,154.653,2095.43,3.87776,13.7809,28.9633,332.152,44.5043,13.7751,0.679069,0.829105,0.864824,0.857291,0.837683
9681,twn,2007,machinery,11.3231,16.7884,18.2395,29.3138,8.9431,27.1183,7.4114,1.54,5.9677,8.9309,102.801,15.1144,53.7965,49.1295,171.721,55123.3,105.516,6.2366,673.178,100.695,28.8117,37.3077,14.4421,9.0879,36.8112,84.2242,440.384,machinery,0.9777,2.5055,10.6545,3.7779,0.2833,26.9355,2.3861,1.2293,5.972,4.9994,97.1287,14.3682,54.1343,44.1833,90.1244,49245.5,77.432,0.1629,14.6066,4.7699,15.6365,5.38686,4.7141,1.0486,28.3448,7.9201,7.9798,0.266114,0.556701,0.538955,0.327332,0.548652
9830,ven,2007,energy,86.7679,82.6843,42101.1,502.548,112.163,29.1619,62.6692,77.2159,20.4516,70.0344,642.221,22.6554,1280.06,142.236,283.263,200.471,219.319,67.902,1341.7,1232.79,1328.55,62.1884,8.4175,20.2389,97.6091,160.644,758.798,energy,2.3885,38.5036,40494.8,6.6305,4.1161,2.2013,0.6136,2.2354,2.3955,1.0415,204.186,9.7001,1292.8,23.3361,23.9363,15.7637,3.7506,0.3831,0.4504,7.9598,200.387,2.87697,0.815,0.6414,4.4832,2.9944,4.1217,0.619988,0.826097,0.8868,0.787133,0.845845
10127,aze,2011,energy,156.39,13.63,19230.2,107.76,43.92,6.11,0.82,0.94,0.76,0.71,163.05,1.8,85.06,0.46,3.55,15.35,5.55,46.72,368.28,190.85,412.24,18.27,0.52,0.48,28.62,40.86,254.08,energy,6.84,5.87,17842.3,6.53,0.47,4.86,0.48,0.76,0.56,0.4,89.39,0.35,84.42,0.24,0.51,5.08,4.83,0.2,1.29,1.02,99.81,0.48,0.07,0.15,6.64,0.57,2.57,0.6935,0.8703,0.9058,0.8403,0.885
10342,bol,2011,otherprim,11.32,1674.61,4.78,21.59,4.51,1.07,3.25,2.54,58.67,0.58,11.44,2.08,522.13,0.22,0.74,1.56,9.81,1.74,306.78,5.13,7.32,0.85,0.81,0.7,0.33,0.0,21.1,otherprim,2.24,1721.72,7.32,5.18,0.47,0.53,0.5,0.84,17.15,0.11,6.52,0.82,525.22,0.16,0.13,0.25,2.99,0.02,0.21,0.07,0.91,0.12,0.03,0.12,0.07,0.0,0.18,0.6837,0.361,0.5749,0.3986,0.3632
10397,brn,2011,energy,1.31,0.03,6396.47,9.79,0.94,4.18,4.61,0.51,2.16,6.75,104.46,17.09,23.43,12.02,4.42,13.61,18.47,4.7,54.02,11.53,270.85,1.63,0.21,0.04,17.83,1.37,309.55,energy,0.17,0.03,6161.64,1.13,0.01,2.44,1.57,0.01,0.25,1.27,102.5,0.24,19.68,3.38,1.84,9.01,18.3,0.07,2.11,0.51,134.03,0.06,0.19,0.01,1.16,0.73,3.7,0.8357,0.852,0.9135,0.8873,0.8651
10423,bwa,2011,otherprim,0.08,3675.12,0.01,2.96,0.58,0.01,0.01,0.0,0.01,0.02,0.06,0.04,0.01,0.08,0.12,0.05,4.88,0.03,42.85,0.45,0.67,0.02,0.12,0.02,0.81,0.15,3.6,otherprim,0.01,3643.66,0.0,0.11,0.02,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.11,0.04,3.56,0.0,0.17,0.02,0.39,0.01,0.01,0.01,0.28,0.03,0.11,0.9011,0.677,0.7575,0.6593,0.6979
10557,civ,2011,primaryagr,5395.83,2.18,2.72,659.27,41.88,35.8,14.25,5.35,1.0,1.59,98.15,0.28,1.99,0.44,1.46,1.67,2.81,0.0,4.19,-1.8,2.26,0.26,0.07,0.08,3.17,0.21,3.47,primaryagr,2375.04,0.35,2.26,403.71,4.98,9.0,0.14,1.25,0.96,0.28,70.99,0.1,1.96,0.16,1.14,0.57,0.06,0.0,0.09,0.09,0.61,0.07,0.02,0.03,0.55,0.0,0.18,0.5999,0.3438,0.5187,0.3553,0.387
10802,ecu,2011,energy,98.23,18.59,9896.56,166.07,22.74,15.74,14.9,8.92,6.38,15.48,62.71,3.09,24.41,18.97,19.38,30.69,54.69,27.55,149.55,46.2,556.31,51.89,41.19,1.13,2.11,1.53,165.11,energy,48.6,2.68,6129.11,49.62,0.55,2.46,0.44,0.88,4.35,1.91,21.06,1.25,24.41,1.3,7.37,10.41,0.96,0.21,0.04,0.54,102.21,2.94,0.49,0.1,0.3,0.2,1.51,0.5977,0.4157,0.5378,0.3802,0.4324
10908,eth,2011,primaryagr,10899.6,3.84,0.33,211.2,76.33,129.86,34.48,165.18,0.89,0.45,9.3,9.14,3.31,2.84,7.05,18.2,11.93,2.86,112.83,4.53,35.47,16.27,0.33,0.18,22.63,116.0,194.65,primaryagr,1799.12,0.14,0.0,6.19,0.4,17.63,1.2,31.28,0.02,0.01,0.41,0.14,2.66,0.05,0.42,0.55,0.25,0.03,0.46,1.21,25.0,2.89,0.2,0.07,7.17,4.56,9.95,0.8389,0.5082,0.6663,0.5564,0.5509
11071,gin,2011,otherprim,0.14,559.53,0.04,0.21,0.55,0.05,0.47,0.43,4.57,0.55,0.0,0.84,6.89,0.07,0.14,0.0,4.3,0.16,11.79,0.0,0.05,0.03,0.03,0.03,0.08,0.88,0.39,otherprim,0.02,423.84,0.04,0.01,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.01,6.7,0.01,0.0,0.0,0.06,0.0,0.5,0.0,0.01,0.01,0.0,0.0,0.04,0.02,0.01,0.5334,0.4802,0.6615,0.4329,0.5923
11342,irn,2011,energy,2315.41,517.08,85938.2,2535.99,81.86,338.65,78.61,141.06,4.44,73.21,2854.85,242.66,301.13,565.53,917.62,1217.25,606.21,81.07,4910.74,3552.73,5874.52,131.1,98.94,11.07,483.49,409.18,2241.77,energy,221.95,360.83,68232.6,112.84,1.41,72.95,3.69,29.27,2.26,14.0,2364.06,139.47,301.34,25.16,20.69,73.03,14.59,2.12,47.76,124.71,2471.31,27.23,43.78,8.72,155.75,28.99,27.72,0.6625,0.5907,0.6444,0.6481,0.6219
11504,kaz,2011,energy,481.95,66.72,14818.7,468.25,24.03,16.67,12.8,15.02,11.17,29.08,314.75,18.09,708.99,20.96,34.6,148.13,63.81,11.6,532.99,501.58,119.21,95.83,-1.17,1.18,-2.67,203.0,1649.76,energy,21.07,64.4,13961.2,18.97,0.85,0.88,0.12,1.22,0.13,1.4,230.19,1.76,622.88,1.13,1.4,6.06,11.94,0.14,0.59,5.38,55.94,2.91,0.15,0.12,3.48,4.39,30.38,0.3933,0.5593,0.5734,0.3315,0.5586
11639,kwt,2011,energy,3.97,7.67,63665.9,35.35,5.84,2.19,4.41,0.89,1.22,4.49,258.71,7.34,13.15,1.49,9.85,34.2,21.43,229.05,150.73,256.32,1023.62,42.42,40.97,5.97,173.56,80.94,270.23,energy,0.1,5.86,60585.2,4.51,0.12,0.08,0.05,0.02,0.08,1.68,166.72,0.99,4.57,0.28,0.45,2.74,0.7,0.22,0.15,1.61,553.61,22.76,0.44,1.46,25.84,0.95,12.31,0.704,0.7684,0.7876,0.7929,0.7912
11908,mng,2011,otherprim,1.55,1152.37,3.22,0.7,0.08,0.09,0.05,0.05,0.43,0.06,0.05,0.07,6.48,0.02,0.05,0.09,0.02,0.12,26.95,2.27,7.99,0.19,0.04,0.03,1.4,0.31,5.31,otherprim,0.15,1202.39,0.93,0.07,0.0,0.07,0.01,0.04,0.07,0.0,0.03,0.0,6.43,0.01,0.02,0.02,0.01,0.01,0.06,0.06,3.21,0.03,0.0,0.0,0.13,0.03,0.06,0.6265,0.5891,0.6899,0.5389,0.6146
11988,mwi,2011,primaryagr,1434.24,0.54,0.67,42.49,227.56,5.96,11.73,2.49,10.16,8.56,0.26,0.0,0.1,0.36,1.34,1.09,0.35,0.06,0.03,24.35,0.35,0.08,0.46,1.04,0.1,0.0,1.13,primaryagr,522.42,0.16,0.67,26.92,2.21,2.16,2.4,0.08,2.61,0.32,0.25,0.0,0.01,0.01,0.54,0.54,0.09,0.0,0.02,0.47,0.25,0.02,0.09,0.16,0.08,0.0,0.01,0.6118,0.4237,0.546,0.3955,0.4915
12071,nga,2011,energy,25.5,21.89,56185.4,38.89,9.61,2.67,4.56,3.28,2.79,17.53,130.5,12.96,69.08,4.93,18.75,49.75,22.45,0.44,16.72,73.0,266.83,4.65,11.75,8.17,8.62,20.24,607.93,energy,0.27,1.13,54960.6,0.53,0.46,0.33,0.02,2.44,0.22,0.28,45.16,3.62,61.77,2.31,1.31,2.48,1.39,0.0,0.02,0.23,99.07,0.2,0.11,0.06,0.38,0.2,7.49,0.8822,0.9124,0.9368,0.9094,0.9227
12152,nor,2011,energy,71.7,245.17,60279.3,434.63,17.87,13.94,6.15,1.73,38.91,188.74,729.87,36.57,1433.19,33.67,230.16,218.21,25.61,16.99,627.27,867.05,5629.64,99.56,44.21,15.43,307.04,232.85,1202.93,energy,5.05,218.62,63635.4,176.16,3.13,4.23,1.39,0.62,22.8,80.73,615.65,18.16,1418.7,18.7,62.07,145.6,6.46,0.21,5.94,25.54,3211.63,10.73,4.75,1.45,111.88,14.63,6.67,0.719,0.4349,0.5984,0.4817,0.4979
12233,omn,2011,energy,5.39,40.98,20840.4,42.2,1.37,6.32,7.52,2.96,0.72,21.13,391.7,19.76,71.14,2.39,5.59,47.38,31.41,139.45,234.18,274.52,356.46,14.47,7.11,0.88,44.85,37.41,172.73,energy,0.54,34.32,19759.4,24.66,0.01,1.21,0.43,0.21,0.35,2.98,318.43,11.56,58.73,0.61,1.13,16.5,15.63,0.51,0.21,11.29,93.01,0.79,0.16,0.2,12.01,1.68,1.18,0.8395,0.6823,0.7373,0.7343,0.7184
12447,pry,2011,primaryagr,2840.13,0.51,11.26,1563.65,73.23,34.31,15.33,3.08,3.38,4.3,14.44,0.66,0.74,2.71,0.52,0.69,4.27,0.72,30.89,176.0,9.1,7.42,0.04,0.86,18.58,60.16,102.7,primaryagr,2175.48,0.05,10.17,517.18,2.58,10.96,1.53,1.88,0.98,0.31,8.42,0.09,0.74,0.04,0.01,0.4,0.06,0.0,0.05,5.23,2.44,0.19,0.05,0.45,13.65,0.94,2.96,0.695,0.3783,0.5185,0.436,0.4099
12476,qat,2011,energy,0.9,1.08,19614.4,4.48,1.21,0.23,0.37,0.09,0.03,1.84,994.07,3.03,53.94,3.1,5.75,6.78,16.6,96.87,419.51,105.1,555.81,7.23,6.86,1.51,49.12,22.9,115.73,energy,0.02,0.96,19204.2,0.06,0.01,0.01,0.02,0.0,0.01,0.13,667.38,0.11,30.37,0.27,0.56,1.7,3.14,0.36,2.02,6.84,253.09,0.56,0.87,0.95,14.58,2.98,1.78,0.5684,0.6268,0.5745,0.4822,0.6066
12530,rus,2011,energy,3036.94,1148.99,116251.0,5428.76,414.19,94.91,214.21,117.89,1123.75,1255.51,10495.4,217.2,6111.54,358.24,2070.12,3757.49,309.22,1354.17,11450.2,6662.83,11529.6,492.5,83.6,146.44,2449.75,1225.88,12968.3,energy,234.68,1193.03,145220.0,331.81,23.43,31.37,5.67,11.72,546.39,550.31,8405.82,121.93,6450.63,98.46,421.53,405.18,83.48,7.02,136.02,47.01,2519.49,48.87,15.46,18.23,321.23,39.22,32.86,0.3872,0.5687,0.5812,0.457,0.5859
12584,sau,2011,energy,230.03,44.42,193766.0,363.74,116.73,50.17,76.7,18.73,10.71,205.9,8456.28,269.14,280.59,46.79,188.84,380.97,268.34,663.89,2342.99,1611.51,5886.43,78.46,91.88,19.96,387.15,177.51,1231.63,energy,13.07,31.45,180985.0,46.08,7.71,18.5,4.02,4.63,2.19,92.92,5376.8,25.05,131.72,14.48,25.19,94.18,26.33,2.45,13.78,70.62,1086.3,2.0,5.97,11.85,145.17,24.8,5.67,0.6874,0.7783,0.789,0.7818,0.7801
12771,tgo,2011,primaryagr,855.96,0.73,0.0,99.26,2.92,2.53,0.61,0.11,0.06,0.02,1.6,0.46,2.2,0.02,0.0,0.2,0.17,0.0,0.43,1.21,0.79,0.05,0.01,0.01,0.03,0.05,1.14,primaryagr,456.84,0.52,0.0,8.48,0.62,1.33,0.12,0.03,0.06,0.01,1.05,0.48,2.52,0.02,0.0,0.09,0.06,0.0,0.0,0.07,0.31,0.01,0.0,0.0,0.02,0.0,0.08,0.6803,0.3584,0.5753,0.4372,0.4785
12921,twn,2011,machinery,12.82,18.85,18.47,33.07,10.05,37.05,8.96,1.99,7.74,10.95,143.87,19.87,71.36,63.82,200.53,71126.4,132.36,7.01,647.65,110.71,32.71,41.3,14.9,10.2,34.34,92.98,497.1,machinery,1.27,3.21,10.81,4.86,0.35,36.87,3.17,1.64,7.75,6.56,137.2,19.03,71.79,58.6,114.51,65197.5,101.43,0.15,13.48,4.44,17.37,5.04,4.38,0.99,26.2,7.32,7.39,0.2656,0.5728,0.5599,0.334,0.5621
13070,ven,2011,energy,90.23,106.92,41986.9,545.65,131.59,31.74,74.35,86.86,22.7,79.61,603.98,20.89,803.18,153.53,411.16,223.34,236.8,80.08,1369.98,1348.67,1337.72,66.91,10.77,22.45,92.74,174.17,785.32,energy,0.88,56.81,40424.7,2.39,2.05,0.41,0.34,1.48,1.51,0.43,111.75,4.35,815.56,8.68,2.75,8.24,1.69,0.28,0.48,5.69,151.37,1.94,0.68,0.5,3.45,2.06,2.79,0.6228,0.8512,0.8879,0.786,0.8634
